epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4029.35,1.06959,2.35281,1.31708,0.4684,0.2315,0.18363,0.12563,1.07609,2.19736,1.34205,0.000107471,0.000107471,0.000107471
2,4252.16,1.03721,1.81385,1.27914,0.55056,0.25661,0.25997,0.18721,1.02704,1.80628,1.30584,0.000204489,0.000204489,0.000204489
3,4475.96,1.02672,1.69739,1.27852,0.59026,0.2857,0.31284,0.21945,1.01451,1.69902,1.29285,0.000290847,0.000290847,0.000290847
4,4698.14,1.00675,1.59879,1.26555,0.52626,0.40261,0.39319,0.28388,0.9443,1.59384,1.23078,0.000275035,0.000275035,0.000275035
5,4919.4,0.94962,1.41609,1.23023,0.62609,0.45337,0.49224,0.35873,0.90142,1.37532,1.22068,0.000259046,0.000259046,0.000259046
6,5140.38,0.90941,1.28682,1.19941,0.72753,0.48315,0.55719,0.41807,0.83407,1.14577,1.1576,0.000243057,0.000243057,0.000243057
7,5360.02,0.8719,1.17831,1.17071,0.63715,0.54422,0.59182,0.44878,0.79704,1.00186,1.12185,0.000227069,0.000227069,0.000227069
8,5581.57,0.84354,1.0742,1.15046,0.7506,0.53121,0.62826,0.48676,0.76874,0.92818,1.10116,0.00021108,0.00021108,0.00021108
9,5805.65,0.79906,0.97604,1.12259,0.7745,0.59313,0.6688,0.51652,0.73265,0.85031,1.07374,0.000195092,0.000195092,0.000195092
10,6029.46,0.77545,0.92446,1.10829,0.77199,0.63622,0.70343,0.54313,0.69808,0.77711,1.04704,0.000179103,0.000179103,0.000179103
11,6238.07,0.74282,0.81175,1.11764,0.80815,0.65146,0.72206,0.57254,0.69228,0.74827,1.04385,0.000163115,0.000163115,0.000163115
12,6445.49,0.70232,0.72011,1.08344,0.85672,0.66621,0.75807,0.60078,0.66846,0.69018,1.02711,0.000147126,0.000147126,0.000147126
13,6653.4,0.68191,0.66399,1.06648,0.85492,0.68157,0.77571,0.61832,0.64297,0.63437,0.99596,0.000131138,0.000131138,0.000131138
14,6861.2,0.65364,0.60765,1.04696,0.83065,0.69941,0.76965,0.61528,0.6158,0.58914,0.98217,0.000115149,0.000115149,0.000115149
15,7067.03,0.63456,0.56679,1.03338,0.82128,0.71251,0.76914,0.62623,0.59621,0.58455,0.96829,9.9161e-05,9.9161e-05,9.9161e-05
16,7280.54,0.60815,0.53138,1.01733,0.87649,0.72844,0.80247,0.659,0.57747,0.53136,0.95844,8.31725e-05,8.31725e-05,8.31725e-05
17,7488.45,0.58806,0.49013,1.00179,0.86649,0.73252,0.80123,0.65973,0.56161,0.51293,0.94122,6.7184e-05,6.7184e-05,6.7184e-05
18,7775.67,0.57257,0.46448,0.99196,0.83921,0.77614,0.81967,0.67915,0.54176,0.484,0.92841,5.11955e-05,5.11955e-05,5.11955e-05
19,7985.31,0.55939,0.4387,0.98662,0.90007,0.75127,0.82441,0.68368,0.52656,0.46206,0.91917,3.5207e-05,3.5207e-05,3.5207e-05
20,8193.69,0.53703,0.41431,0.97313,0.89649,0.74812,0.81747,0.68318,0.51753,0.45376,0.91236,1.92185e-05,1.92185e-05,1.92185e-05
